key_no,p_rank,q_rank,p_rank * q_rank
0,1948,-1,-1
1,13233,11101,146899533
2,481,51,24531
3,1721,3247,5588087
4,3784,18,68112
5,182786,28,5118008
6,1715,25,42875
7,25,3,75
8,2355,2073,4881915
9,145,15004877,2175707165
10,6501,1866,12130866
11,89,1137,101193
12,7,933830,6536810
13,57,4484,255588
14,-1,1,-1
15,2388,67796,161896848
16,837,114,95418
17,28036,122,3420392
18,721,4072,2935912
19,11450,4725,54101250
20,-1,149,-1
21,4,-1,-1
22,152,42488,6458176
23,23701,-1,-1
24,107339,108,11592612
25,1217,92317,112349789
26,79,372,29388
27,32,8934764,285912448
28,413881,4036,1670423716
29,941,38,35758
30,3443,4660,16044380
31,114,6,684
32,944630,94,88795220
33,22163,662538,14683829694
34,11548,3947,45579956
35,345,753171,259843995
36,-1,15,-1
37,45987,144,6622128
38,-1,471,-1
39,3869,1,3869
40,20806,-1,-1
41,12706,930,11816580
42,2513,3714,9333282
43,-1,11,-1
44,296302,10,2963020
45,445,154,68530
46,232,180703,41923096
47,2693,50,134650
48,922,435,401070
49,17397,20367,354324699
50,41,174,7134
51,48643,333,16198119
52,-1,24,-1
53,1958281,-1,-1
54,205,271,55555
55,2251,3791,8533541
56,-1,27,-1
57,26,257,6682
58,281,14108,3964348
59,7701,-1,-1
60,49633,104,5161832
61,69378,14,971292
62,1565,1468,2297420
63,19538,1652,32276776
64,475421,-1,-1
65,355,316,112180
66,133,851,113183
67,80,61,4880
68,97,32,3104
69,-1,88,-1
70,740,2813,2081620
71,6661,86,572846
72,118,6111,721098
73,1346,37,49802
74,867,137,118779
75,1181,104,122824
76,119,2064579,245684901
77,198,8033,1590534
78,21,1,21
79,2247,2083,4680501
80,418,62985,26327730
81,6,744,4464
82,2148,-1,-1
83,1,1081,1081
84,366,1555,569130
85,1528,14,21392
86,413,1,413
87,23,5,115
88,14783,62,916546
89,170687,1761,300579807
90,36683,2344,85984952
91,-1,-1,-1
92,76697,9,690273
93,32795,1100,36074500
94,517,153531,79375527
95,2151,8908,19161108
96,842,237,199554
97,177,17,3009
98,7618,132,1005576
99,205,24,4920
